Address,District,City,Size,Price,Description
Haarniskatie 5 B,Puotila,Helsinki,52 m²,199 000 €,"
2h + k + p
"
Kutomotie 11 D 6,Pitäjänmäki,Helsinki,52 m²,295 000 €,"
2h+k+kph+las.parv
"
Pietarinkatu 15,Ullanlinna,Helsinki,38 m²,385 000 €,"
1h, halli, kk, kh
"
Kahvipavunkuja 2 a,Aurinkolahti,Helsinki,53 m²,329 000 €,"
2h+kt
"
Kanneltie 7 B,Kannelmäki,Helsinki,"40,5 m²",185 000 €,"
2h+k+kph+vh+las.parv
"
Köydenpunojankatu 8 J,Kamppi,Helsinki,43 m²,398 000 €,"
2h, k, kph, lasitettu parveke
"
Torkkelinkuja 20 A,Torkkelinmäki,Helsinki,"57,6 m²",495 000 €,"
2h+k
"
Harjutori 2 B,Kallio,Helsinki,"40,5 m²",275 000 €,"
2h + k + kph
"
Lönnrotinkatu 21 C,Kamppi,Helsinki,57 m²,509 000 €,"
2h, avok, s, parveke.
"
Hämeentie 85-89 B,Hermanni/Vallilla,Helsinki,47 m²,269 000 €,"
2h,kk,alkovi,kph,vh,ransk.parv.
"
Mechelininkatu 26 A,Etu-Töölö,Helsinki,62 m²,460 000 €,"
2 h, avok, kph
"
Viherniemenkatu 1,Hakaniemi,Helsinki,"52,5 m²",329 000 €,"
2h, kk, et, kph/wc
"
KALJAASI FORTUNAN KATU 1,Sompasaari,Helsinki,"45,5 m²",509 000 €,"
2h + avok + kph + parveke
"
Hauhontie 8 N,Vallila,Helsinki,"45,7 m²",375 000 €,"
2h+k+kh (yj:n mukaan 2h+k)
"
Kalevankatu 26,Kamppi,Helsinki,"47,5 m²",409 000 €,"
2h + avok + kph + vh
"
Hämeentie 54-56 B,Sörnäinen,Helsinki,"48,5 m²",298 000 €,"
2h, avok, las. parveke (yj:n mukaan 2h+k)
"
Koskelantie 31 C 28,Käpylä,Helsinki,62 m²,350 000 €,"
2h+k+kph+p
"
Ounasvaarantie 7,Mellunkylä,Helsinki,50 m²,10 518 €,"
2H+KK
"
Leskirouva Freytagin kuja 1 B 21,Latokartano,Helsinki,46 m²,284 000 €,"
2h+k+kph+s+las.parv
"
Kajaaninlinnantie 6 A,Puotinharju,Helsinki,50 m²,185 000 €,"
2h+k+kph+parveke
"
Kauppiaankatu 8-10,Katajanokka,Helsinki,45 m²,382 000 €,"
2h, avok, kph
"
Tuohiaukio 4,Kaarela,Helsinki,51 m²,210 000 €,"
2h + kk + s + p
"
Mannerheimintie 128 A,Meilahti,Helsinki,56 m²,358 000 €,"
2h, avok, kph 
"
Vanhaistentie 1 b B35,Kannelmäki,Helsinki,43 m²,246 900 €,"
2H+KT
"
Vanhaistentie 1 b B40,Kannelmäki,Helsinki,"46,5 m²",246 900 €,"
2H+KT
"
Vanhaistentie 1 b B42,Kannelmäki,Helsinki,42 m²,243 900 €,"
2H+KT
"
Sammatintie 11 as. 13,Vallila,Helsinki,"46,5 m²",337 500 €,"
2h + kt
"
Sammatintie 11 as. 26,Vallila,Helsinki,44 m²,381 500 €,"
2h + kt
"
Maustetehtaankatu 6 B 36,Aurinkolahti,Helsinki,55 m²,279 000 €,"
2h + avok + s + p
"
Leikosaarentie 7 D,Kallahti,Helsinki,"49,5 m²",185 000 €,"
2h+kk+rt+kph+s+parveke (yj:n mukaan 2h+kk+s)
"
Laivastokatu 12 B,Katajanokka,Helsinki,38 m²,435 000 €,"
Oh, alkovi lasiseinällä, keittiö, kph (yj:n mukaan 1h+kk+kh+alk)
"
Sepänkatu 7 B,Punavuori,Helsinki,45 m²,448 000 €,"
2h+avok+kph (yhtiöjärj. 2 h+k)
"
Revontulentie 2 I,Suutarila,Helsinki,"59,5 m²",209 000 €,"
2h, avok, kph, s, varasto, piha
"
Toinen linja 23 A,Kallio,Helsinki,50 m²,359 000 €,"
2h+avok
"
