Address,District,City,Size,Price,Description
MAISEMAMAALAUKSENKATU 3 D 71,Kuninkaantammi,Helsinki,"54,5 m²",299 600 €,"
2h+kt+viherhuone
"
MAISEMAMAALAUKSENKATU 3 D 67,Kuninkaantammi,Helsinki,"54,5 m²",278 800 €,"
2h+kt+viherhuone
"
MAISEMAMAALAUKSENKATU 3 B 37 a,Kuninkaantammi,Helsinki,"63,5 m²",334 400 €,"
2h+kt+s+viherhuone
"
Iso Roobertinkatu 33,Punavuori,Helsinki,53 m²,475 000 €,"
2h + avok
"
Haapasaarentie 2,Vuosaari,Helsinki,"53,5 m²",185 000 €,"
2h + k + p
"
Lauttasaarentie 1 C,Lauttasaari,Helsinki,"40,5 m²",405 000 €,"
2h+kt+lasitettu parveke
"
Pihlajatie 15 A,Meilahti,Helsinki,68 m²,409 000 €,"
2h+k+kh
"
Hiidenkiukaantie 2,Lehtisaari,Helsinki,"63,3 m²",249 000 €,"
2h, k, kph, lasitettu parveke
"
Orioninkatu 13-15 C,Hermanni,Helsinki,"45,2 m²",275 000 €,"
2h+k+kph
"
Vesalantie 72 B,Vesala,Helsinki,55 m²,234 000 €,"
2h,k, sauna, erillinen wc, parvi 
"
Pajalahdentie 4-6,Lauttasaari,Helsinki,52 m²,429 000 €,"
2h+avok+kph+vh
"
Meri-Rastilantie 10 C,Vuosaari,Helsinki,"44,5 m²",159 000 €,"
2h+avok.+las.parveke
"
Myrttitie 10,Pukinmäki,Helsinki,38 m²,145 000 €,"
2h + k + lasitettu parveke
"
Torkkelinkatu 2 b A,Torkkelinmäki,Helsinki,36 m²,287 000 €,"
2h+k+kph
"
Tilkankatu 16 A,Pikku Huopalahti,Helsinki,"44,5 m²",348 000 €,"
2h+kk+kph+p
"
Hiihtäjäntie 2,Herttoniemi,Helsinki,"55,5 m²",279 000 €,"
2h, k, kph
"
Paciuksenkaari 12 B 31,Huopalahti,Helsinki,"56,5 m²",21 447 €,"
2H+K+S
"
Kivipadontie 6,Patola,Helsinki,"57,5 m²",198 000 €,"
2 h, k, kh, parv.
"
Halsuantie 5-7 E,Kannelmäki,Helsinki,"60,5 m²",162 000 €,"
2h + k + kph + vh + las. parveke
"
Mannerheimintie 132 B,Meilahti,Helsinki,38 m²,298 000 €,"
2 h+k-syv
"
Rakentajantie 10 A,Pitäjänmäki / Reimarla / Konala,Helsinki,"64,5 m²",199 000 €,"
2h+k+et+vh+parveke (yhtiöj. mukaan 2h+k)
"
Kivijatatie 11 A,kivikko,Helsinki,"51,5 m²",189 000 €,"
2h+k+kph+s+lasitettu parveke
"
Vanhaistentie 1 E,Kannelmäki,Helsinki,"53,5 m²",32 962 €,"
2H+KT
"
Viides linja 2 B,Kallio,Helsinki,"46,5 m²",365 000 €,"
  2h + avokeittiö + kph (yht.järj. mukaan 2h + kk)
"
Porttikuja 3 C,Kontula,Helsinki,57 m²,132 000 €,"
2h,k,kph,lasitettu parveke
"
Itäinen Alppirinne 1A D,Kallio,Helsinki,"52,5 m²",335 000 €,"
2h + avokeittiö (yhtiöjärjestyksen mukaan1h+k)
"
Tiirismaantie 5 A,Pihlajisto,Helsinki,"59,5 m²",139 000 €,"
2h+k
"
Rastilanraitti 3 A,Rastilankallio,Helsinki,"50,5 m²",240 000 €,"
2h+kk+s
"
Särkiniementie 3b A24,Lauttasaari,Helsinki,"91,5 m²",807 000 €,"
3 - 4h + kt
"
Pietarinkatu 14,Ullanlinna,Helsinki,"52,3 m²",465 000 €,"
2h+kk+kph
"
Taidemaalarinkatu 16,Kuninkaantammi,Helsinki,"51,5 m²",239 000 €,"
kaunis parvekkeellinen koti v. 2019 valmistuneessa talossa.
"
KOLLIKATU 2,Postipuisto,Helsinki,36 m²,239 000 €,"
2h + avok + lasitettu parveke
"
Liusketie 19 M,Pihlajamäki,Helsinki,"59,5 m²",150 000 €,"
2h+k
"
Runeberginkatu 4c A,Kamppi,Helsinki,64 m²,448 000 €,"
2h+k+kph/s+lasit.parv  (yj:n muk 2h+k+s)
"
Lähdeniityntie 13,Tapaninkylä,Helsinki,"46,5 m²",12 740 €,"
2H+KK+S
"
Merikannontie 5 A27,Taka-Töölö,Helsinki,"61,5 m²",729 000 €,"
2H+KT+S
"
Ulvilantie 19 a,Munkkivuori,Helsinki,49 m²,276 000 €,"
2h, k, kph, vh, parveke
"
Sörnäistenlaituri 3,Kalasatama,Helsinki,"54,5 m²",498 000 €,"
2h, k, kph, s, las.parveke
"
Saariniemenkatu 8 F,Hakaniemi,Helsinki,63 m²,470 000 €,"
2h,avok,kph (yhtiöjärj 2)
"
Uudenmaankatu 44 E,Punavuori,Helsinki,52 m²,455 000 €,"
2H + AVOK + KPH
"
Haapaniemenkatu 16 B,Merihaka,Helsinki,"52,5 m²",327 000 €,"
2h + k
"
Aleksis Kiven katu 76 A,Alppila,Helsinki,42 m²,314 000 €,"
1h+k+kph
"
Helsinginkatu 42 A,Kallio,Helsinki,43 m²,349 000 €,"
2h+kk
"
Karstulantie 4 AS 42,Vallila,Helsinki,"40,5 m²",348 000 €,"
2h+avok+kph+et+las.p
"
Viipurinkatu 29,Alppila,Helsinki,"33,4 m²",243 000 €,"
2h, avok ja kph
"
Pursimiehenkatu 20 A,Punavuori,Helsinki,44 m²,419 000 €,"
2h, kk, kph
"
Sipoonkatu 11 A,Alppila,Helsinki,41 m²,289 000 €,"
2h+k+kph+wc
"
Hirsipadontie 7,Patola,Helsinki,59 m²,180 000 €,"
2h, keittiö, kph
"
Tullivuorentie 19 a,Malmi,Helsinki,"56,5 m²",235 000 €,"
2h + k + s
"
Kantelettarentie 8,Kannelmäki,Helsinki,38 m²,188 000 €,"
2h+kk
"
Lapinlahdenkatu 11,Kamppi,Helsinki,43 m²,370 000 €,"
2h + avok+kph
"
Metsäpurontie 19-21 A,Maunula,Helsinki,"38,5 m²",235 000 €,"
2h+kk+kph+parveke (yhtiöjärjestyksen mukaan 2h+k)
"
Ratakatu 5,Punavuori,Helsinki,"69,6 m²",459 000 €,"
2-3h+k+kph+wc
"
Roihuvuorentie 21 A,Roihuvuori,Helsinki,49 m²,245 000 €,"
2h+k+kph+parveke
"
Lauttasaarentie 1,Lauttasaari,Helsinki,"40,5 m²",399 000 €,"
2h, avok, lasitettu p
"
Haapasaarentie 6 B,Vuosaari,Helsinki,46 m²,149 500 €,"
2h, k, kph, las.p
"
Kiviportintie 54 A,Vartiokylä,Helsinki,46 m²,164 000 €,"
2h+kk
"
Mechelininkatu 28 a,Etu-Töölö,Helsinki,"45,5 m²",370 000 €,"
2h, avok, kph
"
Karmiinikuja 4 A,Kuninkaantammi,Helsinki,47 m²,235 000 €,"
2h, avokeittiö, kph, lasitettu parveke (yhtiöjärjestyksen mukaan 2h+k)
"
Rullakkokatu 3 A 32,Pasila,Helsinki,"51,5 m²",309 800 €,"
2h + kt + lasitettu parveke
"
Rukkilantie 2 C,Malminkartano,Helsinki,"58,5 m²",175 000 €,"
2h+avokeittiö+parveke
"
Töölöntullinkatu 4-6 B 51,Meilahti,Helsinki,43 m²,550 000 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 B 47,Meilahti,Helsinki,43 m²,523 100 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 B 43,Meilahti,Helsinki,43 m²,507 000 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 B 39,Meilahti,Helsinki,43 m²,490 900 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 B 35,Meilahti,Helsinki,43 m²,474 700 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 29,Meilahti,Helsinki,46 m²,522 400 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 28,Meilahti,Helsinki,"56,5 m²",668 500 €,"
2h+kt+alk+s
"
Töölöntullinkatu 4-6 A 24,Meilahti,Helsinki,46 m²,496 700 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 23,Meilahti,Helsinki,"56,5 m²",635 600 €,"
2h+kt+alk+s
"
Töölöntullinkatu 4-6 A 19,Meilahti,Helsinki,46 m²,481 300 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 18,Meilahti,Helsinki,"56,5 m²",615 800 €,"
2h+kt+alk+s
"
Töölöntullinkatu 4-6 A 14,Meilahti,Helsinki,46 m²,465 800 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 13,Meilahti,Helsinki,"56,5 m²",589 200 €,"
2h+kt+alk+s
"
Töölöntullinkatu 4-6 A 09,Meilahti,Helsinki,46 m²,450 400 €,"
2h+kt+s
"
Töölöntullinkatu 4-6 A 08,Meilahti,Helsinki,"56,5 m²",569 700 €,"
2h+kt+alk+s
"
Töölöntullinkatu 4-6 A 04,Meilahti,Helsinki,46 m²,434 900 €,"
2h+kt+s
"
Helsinginkatu 14 B,Kallio,Helsinki,"55,3 m²",435 000 €,"
2h+avok+vh+kph
"
Siilitie 2 C,Herttoniemi,Helsinki,47 m²,225 000 €,"
2h+kk+kph+terassi (yhtiöjärjestyksen mukaan 2h+kk)
"
Perämiehenkatu 7 D 14,Punavuori,Helsinki,"57,5 m²",449 000 €,"
2h+k+kph
"
Mannerheimintie 97 C,Ruskeasuo,Helsinki,44 m²,316 000 €,"
2r+öppet kök+bdr+ingl balkong
"
Munkkisaarenkatu 2,Punavuori,Helsinki,"56,5 m²",565 000 €,"
2h, avok, kph/wc/sauna, lasitettu parveke
"
Vattuniemenranta 4 B,Lauttasaari,Helsinki,"73,5 m²",579 000 €,"
Oh, mh, avokeittiö, vh/työhuone, 2 x kph, s, piha ja parveke (isännöitsijäntodistuksen mukaan 2H+K+VH+S)
"
Teollisuuskatu 30 A 32,Vallila,Helsinki,"36,5 m²",359 000 €,"
2h+avok+kph+rp
"
Helatehtaankatu 8 A 18,Malmi,Helsinki,55 m²,243 000 €,"
2h+k+kph+s+vh+las.parv
"
Heinäpellontie 26 B 10,Tapaninkylä,Helsinki,55 m²,206 000 €,"
2h+avok+kph+s+las.parv
"
Alakiventie 7 E,Myllypuro,Helsinki,61 m²,175 800 €,"
2h + k + Lasitettu parveke
"
Pietarinkatu 17 E,Ullanlinna,Helsinki,50 m²,460 000 €,"
2 h + kk
"
Kuusitie 16 A,Meilahti,Helsinki,65 m²,399 000 €,"
2h, k, kph
"
Vähäntuvantie 7,Konala,Helsinki,49 m²,159 000 €,"
2h+k+kph+las.parv
"
Arhipanpolku 11 a,Kaarela,Helsinki,"62,5 m²",172 000 €,"
2h+k
"
Bertha Pauligin katu 2 B 56,Vuosaari,Helsinki,45 m²,298 900 €,"
2h+kt
"
Bertha Pauligin katu 2 B 52,Vuosaari,Helsinki,"40,5 m²",275 700 €,"
2h+kt
"
Bertha Pauligin katu 2 B 51,Vuosaari,Helsinki,45 m²,289 600 €,"
2h+kt
"
Bertha Pauligin katu 2 B 47,Vuosaari,Helsinki,"40,5 m²",267 000 €,"
2h+kt
"
Bertha Pauligin katu 2 B 46,Vuosaari,Helsinki,"45,5 m²",281 100 €,"
2h+kt
"
Bertha Pauligin katu 2 B 42,Vuosaari,Helsinki,"40,5 m²",258 200 €,"
2h+kt
"
Bertha Pauligin katu 2 B 41,Vuosaari,Helsinki,"45,5 m²",271 800 €,"
2h+kt
"
Bertha Pauligin katu 2 B 37,Vuosaari,Helsinki,"40,5 m²",246 500 €,"
2h+kt
"
Bertha Pauligin katu 2 B 36,Vuosaari,Helsinki,"45,5 m²",259 400 €,"
2h+kt
"
Bertha Pauligin katu 2 A 30,Vuosaari,Helsinki,"42,5 m²",279 600 €,"
2h+kt
"
Bertha Pauligin katu 2 A 25,Vuosaari,Helsinki,"42,5 m²",265 700 €,"
2h+kt
"
Bertha Pauligin katu 2 A 20,Vuosaari,Helsinki,"42,5 m²",257 400 €,"
2h+kt
"
Bertha Pauligin katu 2 A 15,Vuosaari,Helsinki,"42,5 m²",249 100 €,"
2h+kt
"
Bertha Pauligin katu 2 A 12,Vuosaari,Helsinki,47 m²,261 200 €,"
2h+kt
"
Bertha Pauligin katu 2 A 9,Vuosaari,Helsinki,"42,5 m²",255 800 €,"
2h+kt
"
Bertha Pauligin katu 2 A 6,Vuosaari,Helsinki,47 m²,249 100 €,"
2h+kt
"
Bertha Pauligin katu 2 A 3,Vuosaari,Helsinki,"42,5 m²",244 200 €,"
2h+kt
"
Köydenpunojankatu 8 I,Kamppi,Helsinki,61 m²,499 000 €,"
2h+avok+kph+las.p
"
Tammisalontie 3 as.,Tammisalo,Helsinki,51 m²,209 000 €,"
2h+k+kph (yhtiöjärjestyksen mukaan 2h+k)
"
Tykistökapteenintie 2 B,Lehtisaari,Helsinki,61 m²,272 000 €,"
2h+avok+kph+parveke
"
Melkonkatu 10 C,Lauttasaari,Helsinki,"56,5 m²",479 000 €,"
2H, KK, S, LASIT. PARV.
"
Riihipellontie 8 A,Konala,Helsinki,"43,5 m²",183 000 €,"
2h, k, lasitettu parveke
"
Karpalokuja 5 C,Kurkimäki,Helsinki,"57,5 m²",164 000 €,"
2h+k+kph+parveke (yj:n  mukaan 2h+k)
"
Fleminginkatu 5 C,Kallio,Helsinki,"44,5 m²",346 000 €,"
2 h
"
Pohjoiskaari 15,Lauttasaari,Helsinki,43 m²,449 000 €,"
2h+avok+kph+parveke
"
Kruunaajanpolku 1,Tapulikaupunki,Helsinki,"50,5 m²",153 000 €,"
2h, kk ,kph, vh ja parveke
"
Matkamiehentie 12 B,Etelä-Haaga,Helsinki,51 m²,199 000 €,"
2h+k
"
Strömsinlahdenkuja 2,Roihuvuori,Helsinki,44 m²,199 000 €,"
2 h, avok., sauna ja parveke
"
Valhallankatu 10,Taka-Töölö,Helsinki,57 m²,425 000 €,"
2h, avok, parveke ja kph
"
Urheilukatu 6-8,Taka-Töölö,Helsinki,"67,5 m²",498 000 €,"
2h, k, kph, wc, vh
"
Jarrumiehenkatu 2 A,Itä-Pasila,Helsinki,61 m²,345 000 €,"
2h, k, kph, vh, lasit. parv.
"
Luuvakuja 2,Malmi,Helsinki,"48,5 m²",230 000 €,"
2h, avok, kph/wc, vaatehuone
"
Pursimiehenkatu 22 B,Punavuori,HELSINKI,57 m²,475 000 €,"
2h + k + p
"
Maakaari 9 A,Viikki,Helsinki,50 m²,278 000 €,"
2h+kk+kph
"
Vattuniemen puistotie 3 B,Lauttasaari,Helsinki,58 m²,424 000 €,"
2H+KT+S
"
Hiekkalaiturinraitti 12,Kallahti,Helsinki,60 m²,228 000 €,"
Meren läheisyydessä tilava kaksio jossa lasitettu parveke metsäisin näkymin, merikin pilkistää!
"
Veräjä 8 D 106,Oulunkylä,Helsinki,34 m²,238 700 €,"
2h+kk+lasit.p
"
Juhana Herttuan tie 4 B,Koskela,Helsinki,63 m²,232 000 €,"
2 h, k, kph/wc, p (Yj.mukainen 2h+k)
"
Maitikkakuja 6,Tapanila,Helsinki,59 m²,159 000 €,"
2h, k, kph/s, wc, parveke
"
Kotkankatu 4 A 7,Alppila,Helsinki,37 m²,309 000 €,"
2h+kk+kph
"
Alppikylänkatu 6 A,Alppikylä,Helsinki,"31,5 m²",225 000 €,"
1h+u+k+parveke, käyttöullakko n. 28,5 m2, asuintilojen pinta-ala
"
Luuvakuja 6 A,Malmi,Helsinki,53 m²,198 000 €,"
2h+k+kh+p
"
Vähäntuvantie 7 A,Konala,Helsinki,49 m²,165 000 €,"
2h+k+kph+las.p
"
Merimiehenkatu 18 B,Punavuori,Helsinki,48 m²,404 000 €,"
2 h + k + kph + eril. wc (yhtiöj. mukaan 1 h + k + kh + WC)
"
Meritullinkatu 15 B,Kruununhaka,Helsinki,72 m²,619 000 €,"
1h+k+alkovi+kph
"
Kalliolinnantie 10 B,Kaivopuisto,Helsinki,75 m²,839 000 €,"
2 h, k, rt, kph, wc, vh, lasit. p
"
Kivihaantie 14,Kivihaka,Helsinki,44 m²,259 000 €,"
2h, kk, kph, s, parveke
"
Koskelantie 11,Käpylä,Helsinki,46 m²,284 000 €,"
2h,avok,kph,p
"
Kolmas linja 17 B,Kallio,Helsinki,"52,5 m²",360 000 €,"
2h+k+kph+ranskal.parveke
"
Tuulimyllyntie 2,Myllypuro,Helsinki,55 m²,149 000 €,"
2h+k+kph+las.parv
"
Pajalahdentie 4 A,Lauttasaari,Helsinki,51 m²,459 000 €,"
2h, k, kph, parveke
"
Mäkelänrinne 3,Vallila,Helsinki,60 m²,298 000 €,"
2h, k, kph ja lasitettu parveke
"
Naapurintie 4 A4,Mellunkylä,Helsinki,50 m²,189 000 €,"
2h
"
Risupadontie 4,Oulunkylä,Helsinki,59 m²,239 000 €,"
2h + avok + p
"
Pietarinkatu 4 A,Ullanlinna,Helsinki,58 m²,495 000 €,"
2 h, k, kph, lasitettu parveke
"
Uudenmaankatu 4-6 E,Punavuori,Helsinki,88 m²,928 000 €,"
2-3h, avok, kph, s
"
Pohjoiskaari 4 B,Lauttasaari,Helsinki,51 m²,375 000 €,"
2 h, k, kph, p
"
Rastilanraitti 3 A,Vuosaari,Helsinki,"50,5 m²",229 000 €,"
2h+avok+kph+sauna+iso lasitettu parveke.
"
Porttikuja 5 C,Kontula,Helsinki,57 m²,129 000 €,"
2h, k, kph, parveke
"
Yllästunturintie 1 E,Mellunmäki,Helsinki,"50,5 m²",125 000 €,"
2h, k, kph, lasitettu parveke
"
Kalasatamankatu 9 A,Kalasatama,Helsinki,48 m²,448 000 €,"
2h+avok.+kph+viherhuone
"
Hakaniemenkatu 5 A,Hakaniemi,Helsinki,81 m²,499 000 €,"
2H+K
"
Kaarikuja 5 C,Kontula,Helsinki,47 m²,158 000 €,"
2h,kk,kph (2h+kk)
"
Pengerkatu 27 A,Kallio,Helsinki,42 m²,318 000 €,"
2h, avokeittiö, kph
"
Huhmarekuja 4 A 10,Latokartano,Helsinki,52 m²,239 000 €,"
2h+avok+kph+p
"
Porvoonkatu 3 D,Alppiharju,Helsinki,42 m²,290 000 €,"
2h+kk+p
"
Kurkisuontie 16,Kurkimäki,Helsinki,"61,5 m²",179 000 €,"
Kaunis saunallinen koti jossa hyvä pohjaratkaisu ja tilava parveke!
"
Mustankivenaukio 3,Vuosaari,Helsinki,57 m²,18 717 €,"
2H+K+S
"
Leikkikuja 3 B,Kontula,Helsinki,"55,5 m²",109 000 €,"
2h+k+kph+vh+p (yj:n mukaan 2 h+k)
"
Saniaistie 22 A,Tapanila,Helsinki,"42,5 m²",169 000 €,"
2h, avokeittiö, kph, p
"
Hiihtäjäntie 4 A,Herttoniemi,Helsinki,48 m²,269 000 €,"
2h, avok, kph, parveke
"
Agronominraitti 6,Viikki,Helsinki,56 m²,24 212 €,"
2H+KK+S
"
KOLLIKATU 4 B,Metsälä,Helsinki,"34,5 m²",253 000 €,"
2h+kt
"
Sulkapolku 2 A,Pitäjänmäki,Helsinki,"38,5 m²",199 000 €,"
2h,kk,kph,lasitt.parveke
"
Rekipellontie 8 A,Vesala,Helsinki,"50,5 m²",155 000 €,"
2h+kk+s+lasit.parv
"
Relanderinaukio 2,Kulosaari,Helsinki,48 m²,346 000 €,"
2h + k + p
"
Viikintie 7 A,Vanhankaupunginkoski,Helsinki,79 m²,595 000 €,"
2h,k,s (yhtiöjärjestyksen mukaan 3h,k,s)
"
Kaksostentie 6,Siltamäki,Helsinki,"63,5 m²",119 867 €,"
2h, k, kph, vh, p
"
Kiviaidankatu 9 A,Lauttasaari,Helsinki,"56,5 m²",459 000 €,"
2H, KT, KPH, VH, LASIT. PARV.
"
Kivikonkaari 7,Kivikko,Helsinki,47 m²,14 400 €,"
2H+KK+S
"
Meri-Rastilan tie 23 B 13,Vuosaari,Helsinki,"59,5 m²",16 647 €,"
2H+K+S
"
Kanneltie 15 D,Kannelmäki,Helsinki,"49,5 m²",207 000 €,"
2h+k
"
Kaupintie 18 A,Lassila,Helsinki,32 m²,168 000 €,"
2h, avokeittiö, kylpyhuone.
"
Kauppakartanonkatu 7 A,Itäkeskus,Helsinki,54 m²,318 000 €,"
2h, avok, kph
"
Kanneltie 13 C,Kannelmäki,Helsinki,"57,5 m²",200 000 €,"
2 h+kk+rt+kph+parveke
"
Oikokatu 5,Kruununhaka,Helsinki,66 m²,495 000 €,"
2h, k, kph, wc
"
Alakiventie 7,Myllypuro,Helsinki,61 m²,194 000 €,"
2h+k+kph+las.p
"
Portimopolku 12 A,Herttoniemi,Helsinki,47 m²,249 000 €,"
2 h + k
"
Kuusistonlinnantie 4,Puotinharju,Helsinki,55 m²,179 000 €,"
2h, k, parveke
"
Kalevankatu 57,Kamppi,Helsinki,57 m²,456 000 €,"
2h + avok + p
"
Orioninkatu 2 A,Hermanni,Helsinki,"45,5 m²",299 000 €,"
2h, kk, kph
"
Prinssintie 4 F,Roihuvuori,Helsinki,"59,5 m²",268 000 €,"
2h+kk+rt
"
Munkkiniemen puistotie 18,Munkkiniemi,Helsinki,41 m²,330 000 €,"
2h, avok, alkovi, kph
"
Mäkelänkatu 38,Vallila,Helsinki,51 m²,309 000 €,"
2h+kk+ruokailutila
"
Merimiehenkatu 14 B,Punavuori,Helsinki,35 m²,319 000 €,"
2h + k
"
Korvatunturintie 1 B,Mellunmäki,Helsinki,59 m²,125 000 €,"
2h+k
"
Anianpellontie 11 A,Malmi,Helsinki,53 m²,136 000 €,"
2h, k, kh
"
Saanatunturintie 1 G,Mellunmäki,Helsinki,47 m²,119 000 €,"
2H+KK
"
Hiihtäjäntie 2 a,Herttoniemi,Helsinki,"62,5 m²",339 000 €,"
2h+k
"
Maaherrantie 34 B 42,Oulunkylä,Helsinki,"51,5 m²",329 600 €,"
2H+KT
"
Harjukatu 7 B 34,Harju,Helsinki,63 m²,389 000 €,"
2h+k+kph+vh
"
Särkiniementie 3b B75,Lauttasaari,Helsinki,"31,5 m²",340 000 €,"
2h + kt
"
Särkiniementie 3b B47,Lauttasaari,Helsinki,"38,5 m²",357 000 €,"
2h + kt
"
Särkiniementie 3b B82,Lauttasaari,Helsinki,"31,5 m²",355 000 €,"
2h + kt
"
Särkiniementie 3b B68,Lauttasaari,Helsinki,"31,5 m²",330 000 €,"
2h + kt
"
Särkiniementie 3b B65,Lauttasaari,Helsinki,"38,5 m²",377 000 €,"
2h + kt
"
Särkiniementie 3b B56,Lauttasaari,Helsinki,"38,5 m²",367 000 €,"
2h + kt
"
Särkiniementie 3b B59,Lauttasaari,Helsinki,"31,5 m²",325 000 €,"
2h + kt
"
Särkiniementie 3b B50,Lauttasaari,Helsinki,"31,5 m²",320 000 €,"
2h + kt
"
Särkiniementie 3b B39,Lauttasaari,Helsinki,45 m²,381 000 €,"
2h + kt
"
Särkiniementie 3b B41,Lauttasaari,Helsinki,44 m²,371 000 €,"
2h + kt
"
Särkiniementie 3b A34,Lauttasaari,Helsinki,"45,5 m²",467 000 €,"
2h + kt
"
Särkiniementie 3b A22,Lauttasaari,Helsinki,47 m²,454 000 €,"
2h + kt + s
"
Särkiniementie 3b A29,Lauttasaari,Helsinki,"45,5 m²",452 000 €,"
2h + kt
"
Särkiniementie 3b A17,Lauttasaari,Helsinki,"45,5 m²",427 000 €,"
2h + kt
"
Särkiniementie 3b A23,Lauttasaari,Helsinki,"45,5 m²",437 000 €,"
2h + kt
"
Särkiniementie 3b A16,Lauttasaari,Helsinki,47 m²,444 000 €,"
2h + kt + s
"
Särkiniementie 3b A11,Lauttasaari,Helsinki,"45,5 m²",417 000 €,"
2h + kt
"
Särkiniementie 3b A7,Lauttasaari,Helsinki,35 m²,347 000 €,"
2h + kt
"
Särkiniementie 3b A10,Lauttasaari,Helsinki,47 m²,434 000 €,"
2h + kt + s
"
Särkiniementie 3b A8,Lauttasaari,Helsinki,61 m²,550 000 €,"
2h + kt
"
Särkiniementie 3b A5,Lauttasaari,Helsinki,"45,5 m²",407 000 €,"
2h + kt
"
Särkiniementie 3b A1,Lauttasaari,Helsinki,35 m²,335 000 €,"
2h + kt
"
Särkiniementie 3b A2,Lauttasaari,Helsinki,61 m²,522 000 €,"
2h + kt
"
Särkiniementie 3b A4,Lauttasaari,Helsinki,36 m²,351 000 €,"
2h + kt
"
Kirstinkatu 9 B,Kallio,Helsinki,52 m²,308 000 €,"
2h+k+kph
"
Porttikuja 3 A,Kontula,Helsinki,50 m²,128 000 €,"
2h+kk+kph
"
Jousimiehentie 10 C,Siltamäki,Helsinki,"48,5 m²",132 023 €,"
2h+kk+kph
"
Petter Wetterin tie 1c A,Herttoniemenranta,Helsinki,"56,5 m²",319 000 €,"
2h+kk+s
"
Tupavuori 3 B,Kulosaari,Helsinki,49 m²,292 000 €,"
2 h+k
"
Mannerheimintie 94 B,Töölö,Helsinki,"48,1 m²",374 000 €,"
2h, avok, vh, kph (yj: 1h+k+kph)
"
Käsityöläisentie 17 E,Tapulikaupunki,Helsinki,"62,5 m²",119 000 €,"
2h+k
"
Tuulimyllyntie 4 B,Myllypuro,Helsinki,"60,5 m²",188 000 €,"
2h, k, kph, vh (YJ:n mukaan 2h+k)
"
Hitsaajankatu 13,Herttoniemenranta,Helsinki,"50,5 m²",296 000 €,"
2h, bk, s, vh, lasitettu terassi, piha-alue
"
Dagmarinkatu 9 a,Etu-Töölö,Helsinki,"75,5 m²",629 000 €,"
2h+k+ halli + kph+ erill. wc
"
Laitatuulenkaari 3 C,Jollas,Helsinki,"64,5 m²",245 000 €,"
2 h + k + kph + s + vh + parvi
"
Taidemaalarinkatu 8 B 41,Kuninkaantammi,Helsinki,"42,5 m²",256 200 €,"
2H+KT
"
Porvoonkatu 45 B,Alppiharju,Helsinki,42 m²,248 000 €,"
2h+k
"
Neljäs linja 16 B,Kallio,Helsinki,"41,5 m²",345 000 €,"
2h+kk+kph+vh+lasitettu parveke
"
Länsisatamankatu 31 B 66,Jätkäsaari,Helsinki,"55,5 m²",485 200 €,"
2h+kt+s
"
Länsisatamankatu 31 B 65,Jätkäsaari,Helsinki,"45,5 m²",395 000 €,"
2h+kt
"
Länsisatamankatu 31 B 61,Jätkäsaari,Helsinki,"55,5 m²",463 000 €,"
2h+kt+s
"
Länsisatamankatu 31 B 60,Jätkäsaari,Helsinki,"45,5 m²",377 000 €,"
2h+kt
"
Länsisatamankatu 31 B 56,Jätkäsaari,Helsinki,"55,5 m²",449 700 €,"
2h+kt+s
"
Länsisatamankatu 31 B 55,Jätkäsaari,Helsinki,"45,5 m²",366 200 €,"
2h+kt
"
Länsisatamankatu 31 B 51,Jätkäsaari,Helsinki,"55,5 m²",436 400 €,"
2h+kt+s
"
Länsisatamankatu 31 B 50,Jätkäsaari,Helsinki,"45,5 m²",355 300 €,"
2h+kt
"
Länsisatamankatu 31 B 46,Jätkäsaari,Helsinki,"55,5 m²",423 100 €,"
2h+kt+s
"
Länsisatamankatu 31 B 45,Jätkäsaari,Helsinki,"45,5 m²",344 500 €,"
2h+kt
"
Länsisatamankatu 31 B 44,Jätkäsaari,Helsinki,"41,5 m²",318 500 €,"
2h+kt
"
Länsisatamankatu 31 B 43,Jätkäsaari,Helsinki,"54,5 m²",376 700 €,"
2h+kt
"
Länsisatamankatu 31 B 41,Jätkäsaari,Helsinki,"55,5 m²",409 800 €,"
2h+kt+s
"
Länsisatamankatu 31 B 40,Jätkäsaari,Helsinki,"45,5 m²",333 700 €,"
2h+kt
"
Länsisatamankatu 31 B 39,Jätkäsaari,Helsinki,"54,5 m²",360 300 €,"
2h+kt
"
Länsisatamankatu 31 B 37,Jätkäsaari,Helsinki,"55,5 m²",396 600 €,"
2h+kt+s
"
Länsisatamankatu 31 B 36,Jätkäsaari,Helsinki,39 m²,304 800 €,"
2h+kt
"
Länsisatamankatu 31 A 34,Jätkäsaari,Helsinki,45 m²,420 500 €,"
2h+kt
"
Länsisatamankatu 31 A 31,Jätkäsaari,Helsinki,64 m²,499 900 €,"
2h+kt+työtila
"
Länsisatamankatu 31 A 29,Jätkäsaari,Helsinki,45 m²,401 400 €,"
2h+kt
"
